Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Skin,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10220092,6f8kU8dsfq6fDyepwvh0bY
Hated You from Hello,Downplay,Radiocalypse,Catchy But Careful,Playlist,TCABG1272526,0D1ExGkm9m5QXklubnFZXp
Firefly,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10421019,1p08WmORbRpFMkhFMPVkb4
Sooner Or Later,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10421432,3JpzmRtht3b7pU9CIAEtzo
Breath,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10622219,25sQxvqeNkLUZnHWkgc4R2
Unknown Soldier,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Banned Bangers,Playlist,USHR10622222,6K9RaIuhu6lkecUJxlblmH
Had Enough,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10622227,5LWWtTIYYhKcflmQMmXVTE
What Lies Beneath,Breaking Benjamin,Dear Agony,Catchy But Careful,Playlist,USHR10924589,2DezzC1osZwVm3lxIRlrCe
Hollow,Breaking Benjamin,Dark Before Dawn,Catchy But Careful,Playlist,USHR11536295,536bkD2pabwDI6kHCzHv5T
Bury Me Alive,Breaking Benjamin,Dark Before Dawn,Catchy But Careful,Playlist,USHR11536297,51V9ZIgSSTMQbGTdoIADgK
Far Away,Breaking Benjamin,Aurora,Sentimental Zone,Playlist,USHR11939381,3OE4VBO845k24R8ZzuMpvj
