Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Higher - Zardonic Remix,Smash Into Pieces,Higher (Zardonic Remix),Everything Green,Playlist,SEVWR2003401,22daqL9ctNGBSL29nyg9s3
Ricochet,STARSET,Vessels,Sentimental Zone,Playlist,USRZR1600189,1ocR8gUE4fBfNJZtBr0TFQ
Telepathic,STARSET,Vessels,Sentimental Zone,Playlist,USRZR1600197,4yEYEO6bRV9xkydMKdn2Z3
Don't Let Me Down,The Chainsmokers,Don't Let Me Down,Sentimental Zone,Playlist,USQX91600011,1i1fxkWeaMmKEB4T7zqbzK
La Leyenda Del Hada Y El Mago,Rata Blanca,"Magos, Espadas Y Rosas",Everything Green,Playlist,ARF099000029,7wuDJMcpXaIxRvJq7iG2bM
Policy of Truth,Depeche Mode,Violator (Deluxe),Everything Green,Playlist,GBAJH0600293,0Mb20VmqR2lvtgbEermW2v
Sign Of The Times,Three Days Grace,Transit Of Venus,Sentimental Zone,Playlist,USRC11200910,4wSv1wn35AbZ3uEII4nPhg
Arcadia,Smash Into Pieces,Arcadia,Everything Green,Playlist,SEVWR1905201,6eh5xkEZFIUrP6HCWAZqpZ
The Hunted,Saint Asonia,The Hunted,Sentimental Zone,Playlist,GBUM71903086,4PmipUiBOwo686wxyMifaE
My Blood,Twenty One Pilots,Trench,Everything Green,Playlist,USAT21810686,5HeKOKc4phmLn8e4I7EkzD
Nico and the Niners,Twenty One Pilots,Trench,Sentimental Zone,Playlist,USAT21804144,5SehvGGC53A7SZKCLXQcyt
Higher,Smash Into Pieces,Rise and Shine,Everything Green,Playlist,SEVWR1603001,5bgRVYqK2Bbenrg2gqtGWN
Die For You,Red,Release The Panic,Catchy But Careful,Playlist,USA5W1200393,08Ab3aJRdPtCadvhxZX9fc
If We Only,Red,Release The Panic,Catchy But Careful,Playlist,USA5W1200397,0EL6IrE7TIPmcb0kryH5FW
My Disease,The Letter Black,Hanging On By A Thread,Sentimental Zone,Playlist,USTN11000003,6WfKkwRzgTV8uo0DfUGwaA
Embrace the Chaos,Pillar,One Love Revolution,Everything Green,Playlist,QMLD61406061,2HxDisUkmB1HBFcXYXaP8x
