Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Break My Heart Again,FINNEAS,Blood Harmony (Deluxe),Sentimental Zone,Playlist,GBKPL1898999,7zw6nQHTwml1mVuQDf5V6k
"Vermilion, Pt. 2",Slipknot,Vol. 3: The Subliminal Verses (Special Edition),Sentimental Zone,Playlist,NLA320420826,0O7lENhqOySbsL743G7PqD
Only a Human,Silver End,Only a Human,Sentimental Zone,Playlist,NOGBV1801043,303HIoYAq6QKpYZ8hxfcDW
Trying To Catch Up With The World,Saint Asonia,Saint Asonia (European Edition),Catchy But Careful,Playlist,USRC11501491,1JysJ6TxLTkzBqNIQelM1H
Broken,Seether,Disclaimer II,Sentimental Zone,Playlist,USWU30400017,507bYMYfbm6sUS9iEAaeSd
How Did You Love,Shinedown,Threat to Survival,Everything Green,Playlist,USAT21501668,2le5xHvcWF8PDp608d4L8D
Bad Days,The Score,Bad Days,Everything Green,Playlist,USA2P2229649,0kdMzZ1w3x4PE8gHfkhvgW
Wake Up Call,Theory of a Deadman,Wake Up Call,Sentimental Zone,Playlist,NLA321700232,2CpMHblH2jRF9NqtaW8MKZ
Parachute,Isac Elliot,Follow Me,Everything Green,Playlist,FIBAR1400579,7hKKzKmZDGNdhZvBQvWMge
Cold Heart - PNAU Remix,Elton John,Cold Heart (Claptone Remix),Everything Green,Playlist,GBUM72104705,02pjWffN5Npwv22BShj1vu
Fire and Fury,Skillet,Rise,Everything Green,Playlist,USAT21301427,0Uc8OnF9BIXgGJqfLZekyk
American Noise,Skillet,Rise (Deluxe Edition),Everything Green,Playlist,USAT21300460,1fnoHCcNPvcLx2ZKyTVFg0
Not You,Alan Walker,World Of Walker,Sentimental Zone,Playlist,NOG842106010,5BKJAuVMDyrFvUTo4dIaiK
Heading Home,Alan Walker,Heading Home,Sentimental Zone,Playlist,NOG842002010,22O2Zdfj3jnJZDSzlDMAJp
World We Used To Know,Alan Walker,World We Used To Know,Everything Green,Playlist,NOG842105010,1I8pMiv8c8mTP0fvt0pqQs
Paradise,Alan Walker,Paradise,Everything Green,Playlist,NOG842109010,0QrLeOy3DCNBNQoEwZB1T3
"Alone, Pt. II",Alan Walker,"Alone, Pt. II",Everything Green,Playlist,NOG841907010,0bMbDctzMmTyK2j74j3nF3
Man On The Moon,Alan Walker,World Of Walker,Everything Green,Playlist,NOG842108010,0zqBZqm5czQ3A4EoSdKFHj
Black Summer,Red Hot Chili Peppers,The Steeple - Modern Rock Hits,Everything Green,Playlist,USWB12105880,0MKjZK5Bg955JhLU7xIUqS
Another Love,Tom Odell,Long Way Down (Deluxe),Sentimental Zone,Playlist,GBARL1300107,3JvKfv6T31zO0ini8iNItO
Wake Me up When September Ends,Green Day,American Idiot,Sentimental Zone,Playlist,USRE10400992,3ZffCQKLFLUvYM59XKLbVm
It'll Be Okay,Shawn Mendes,It'll Be Okay,Sentimental Zone,Playlist,USUM72122321,2KnLkZ3z7PO3kgVGHGqDpD
Here Without You,3 Doors Down,Away From The Sun,Everything Green,Playlist,USUR10200764,3NLrRZoMF0Lx6zTlYqeIo4
chance with you,mehro,SKY ON FIRE,Everything Green,Playlist,USANG2115040,7qFtcljd0PZ5kJZos70YjT
Here to Stay,Smash Into Pieces,Unbreakable,Sentimental Zone,Playlist,SEVWR1300105,483Q9F18uvWW8AchyDNRye
Periscope,Papa Roach,Crooked Teeth (Deluxe),Catchy But Careful,Playlist,USDPK1700006,21nzKMLsmEfqbXie8cIt80
Gone,Red,Gone (Deluxe Edition),Sentimental Zone,Playlist,USA5W1700263,3MC57RhQk1X6S1dAAsgZ6u
High,The Chainsmokers,So Far So Good,Catchy But Careful,Playlist,USQX92105208,09AvsbivV1FQBRAEBJh7UL
Dance with the Devil - Aurora Version,Breaking Benjamin,Aurora,Catchy But Careful,Playlist,USHR11939385,6earA3oIunGQs95h7UwcHQ
The Gold,Manchester Orchestra,Modern Rock,Sentimental Zone,Playlist,USC4R1702130,0CoroYbFRCucNhUnXakORT
Rut,The Killers,Wonderful Wonderful,Sentimental Zone,Playlist,USUM71707341,4EcJBIXjI5y9TA6CBfIljo
Good Times,All Time Low,Last Young Renegade,Everything Green,Playlist,USAT21700393,3aAoy02NwrmZcqXYYjqNh2
Rain,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Sentimental Zone,Playlist,USHR10421086,0x897gxkoEZtPTK1redz8x
Forever,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10220102,0fX678ifUsBZtuRHoBTErN
My Shadow,Smash Into Pieces,A New Horizon (Deluxe Edition),Everything Green,Playlist,QM7282184647,2D1XewSzWT6RB3PCVZVyg6
You and I,PVRIS,White Noise (Deluxe Version),Everything Green,Playlist,USEK71631211,6mIHP19RfAUXTPdxxUqtfn
My Heart I Surrender,I Prevail,Lifelines,Sentimental Zone,Playlist,US5261622482,4Qt5o43KerMzgh0PNPm6Q1
Kids,OneRepublic,Oh My My,Everything Green,Playlist,USUM71606688,5mQNY6pTeSDl2doFB7uLbE
So Alive,The Goo Goo Dolls,Boxes,Everything Green,Playlist,USWB11600222,0Se1ajfYEa51gkPKV5UgLV
He Is,Ghost,13 Commandments,Catchy But Careful,Playlist,USC4R1500700,1m1E5PMPgyyuAldwqm5qsY
