Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Radiant Eclipse,Avenged Sevenfold,Waking The Fallen,Catchy But Careful,Playlist,USHR20323021,6emkKEVCaDzDqUyaKxhCEG
I Won't See You Tonight Part 1,Avenged Sevenfold,Waking The Fallen,Banned Bangers,Playlist,USHR20323022,67w1cb9ESAnCGJkC9hW2nO
Voices,Disturbed,The Sickness,Catchy But Careful,Playlist,USGI19900179,1jPgyViNE7djYSr1xEPlPJ
The One Who Laughs Last,Downplay,The Human Condition,Catchy But Careful,Playlist,TCABK1283591,4wMqSymM7ozpFH3qCptZc0
Won't Let Go,Downplay,Radiocalypse,Catchy But Careful,Playlist,TCABG1272529,36KatZRHPAqrkpESPwxMeE
Here We Are,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Sentimental Zone,Playlist,USHR10622225,3Hve87zNe1BGiAKQawCOlG
Red Cold River,Breaking Benjamin,Ember,Catchy But Careful,Playlist,USHR11738189,6ZfPmIbwzz6fopTNwAJTPs
Down,Breaking Benjamin,Ember,Sentimental Zone,Playlist,USHR11738191,1RlTQfw5fy7evQZSM6MuaA
My Own Nightmare,Downplay,Radiocalypse,Catchy But Careful,Playlist,TCABG1272527,6eCH9XX3JRbBz4X92Gjlge
Polyamorous,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Sentimental Zone,Playlist,USHR10220046,1OvDGGu8KDbchlJTlM48Mr
Sugarcoat,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10220100,2O555IxBzZQV2EJ53Enw5u
Shallow Bay,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10622102,2TacGyMYCkl1wrc8RjKg8O
Evil Angel,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10622223,5dWQ9oasVyQ7sE1KncCyzK
Lights Out,Breaking Benjamin,Dear Agony,Banned Bangers,Playlist,USHR10924591,5aBknBm85rJp8fSWu2koV2
Crawl,Breaking Benjamin,Dear Agony,Catchy But Careful,Playlist,USHR10924586,2G1xOn9PhRgi63XWp2ToZx
Dear Agony,Breaking Benjamin,Dear Agony,Catchy But Careful,Playlist,USHR10924592,0c3fJd2HRi6uHWgTljIae5
Away,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10421004,4f9He2ATuPmLeGA4t2BgUo
