Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Right Here and Now,Message from Sylvia,Message from Sylvia,Everything Green,Playlist,TCACS1683659,0HPQCw6F1hwxNogKat2FdU
Learn From The Night,Sent By Ravens,Mean What You Say,Everything Green,Playlist,USTN11100402,4fhy7L2GgTGoGOnYz5isOC
Barely Alive,Oceans Divide,Oceans Divide EP,Sentimental Zone,Playlist,TCAAW1129354,77s3P2Rk96T54BE0dGCMt9
Army of One,Message from Sylvia,Message from Sylvia,Everything Green,Playlist,TCACS1683663,2ybM8JeSucvZwWUphBc7AX
Said & Done,Ghosts of August,Ghosts of August,Everything Green,Playlist,US7PJ1160019,4LAoS3enOQikwmqfyPeltj
Lost in the Moment,We Came As Romans,Cold Like War,Everything Green,Playlist,DED831701317,50bLxpeTlRwuVSPnSkUwQH
Best of You,Foo Fighters,In Your Honor,Everything Green,Playlist,USRW30500001,5FZxsHWIvUsmSK1IAvm2pp
The Wicked Side of Me,Cold Driven,The Wicked Side of Me,Catchy But Careful,Playlist,CA4E31100003,45nxQzN6z9YxFjF2aVcL8Y
Love Falls,HELLYEAH,UNDEN!ABLE,Banned Bangers,Playlist,USDPK1600035,1K1V7pNxjr6q6FORSJuwlm
Deadrose,Unprocessed,Deadrose,Catchy But Careful,Playlist,DEZC62025859,3h52MkUCj8FmXB5qa9DaJV
Break Me Down,Our Waking Hour,Seconds To Save Her,Catchy But Careful,Playlist,TCAAY1176481,5QjPugJZ9X3pKnjFpEKhIa
Quicksand,Dead Marble,Dead Marble,Catchy But Careful,Playlist,GBLFP2313532,0Onfms3NyiYt5M9Y9u3xzm
Take the Pain Away,ALESTI,Take the Pain Away,Catchy But Careful,Playlist,NOK9L1902030,40LrIVD4RzONBKsyQ4B2Cu
Machines,Crown The Empire,The Resistance: Rise of the Runaways,Everything Green,Playlist,USEK71423904,5y8z5SSxUCey0qNsgPWPbZ
So,Static-X,Shadow Zone,Catchy But Careful,Playlist,USWB10302030,6JUuxEQ47lJH3qfPf5nlil
Farewell To Good Days,Seven Day Sonnet,Farewell To Good Days - Single,Sentimental Zone,Playlist,USWQB1000302,7GtluyUxQy6XSYXiIuPXCQ
Song for the Broken,Take The Day,Song for the Broken,Everything Green,Playlist,TCADZ1857605,1vKfoNeblm2WndbDGkOmhN
Another You,Julian Guba,Another You,Everything Green,Playlist,USCGH2537945,5CBGJubE2utp84NOM3zCGN
Heavy Is the Crown,Dead Marble,Heavy Is the Crown,Sentimental Zone,Playlist,GXF9Q2534126,3R6BPmPRsmIF1J7CnzUuOf
Everything,Bridge to Grace,Origins,Catchy But Careful,Playlist,TCACH1512956,1vKAUJgeXDpaetO2Nbu7vm
Break My Fall,Dead by April,The Affliction,Catchy But Careful,Playlist,QMFME2352782,1foxazOernvfHNmsOxAR0E
Stars,Silent Season,Stars,Sentimental Zone,Playlist,QMBZ91729559,5COsHk9aREvHccb2KS7lmt
Navigating,Twenty One Pilots,Clancy,Sentimental Zone,Playlist,USAT22402070,3gy21TwRSP40aUMwcY7Rtq
City of Angels,Bridge to Grace,Origins,Sentimental Zone,Playlist,TCACH1512969,5yH9blPnplxqAaGTdvuLmu
Reptilia,The Strokes,Room On Fire,Catchy But Careful,Playlist,USRC10301519,57Xjny5yNzAcsxnusKmAfA
Hush,HELLYEAH,Blood For Blood,Catchy But Careful,Playlist,USDPK1400021,4QFb270w2bNjnSrsKmu5Jx
Inside,Highway Saints,Highway Saints,Sentimental Zone,Playlist,TCABT1420331,1OyXeeSSCTRsNNBpqs0J4t
23 Days,Framing Hanley,The Moment,Catchy But Careful,Playlist,USTC10714512,6Pw80Xospi8MzFuslwXtZO
You Make Me Weak,Gravel Switch,No Regrets,Catchy But Careful,Playlist,USA2P1531370,2IrZCEgjSZqntO3XSAQwPz
Seize The Day,Fall Of Envy,Poetic Rage Special Edition,Everything Green,Playlist,TCABE1214152,4nqPLjnn40fJgqAV1Z3vAj
Goodbye,Downplay,Rise. Fall. Repeat.,Catchy But Careful,Playlist,USTCB0954339,6OGFgt485cCG6pH58oZqyZ
No Home,Within Reason,Battlefields Life Love and War,Catchy But Careful,Playlist,uscgj1772158,01c6zcZwz5yr0ZFrPtCXrZ
Fire Fire,Flyleaf,New Horizons,Sentimental Zone,Playlist,USUM71209887,6SOzNLaZF6gHGgh7qU56hE
Through With You,Cult To Follow,The Inception,Catchy But Careful,Playlist,TCADK1722880,35PDioN3ETH4nFI6xaPVBt
The Gate,Silver End,Spreading Fire,Catchy But Careful,Playlist,NOK9L1602070,5EGwCXSUluyy2GKztGyW2X
Heavy Is the Crown,Linkin Park,Heavy Is the Crown,Sentimental Zone,Playlist,USWB12403466,3fgehc497TFqKH1zBL2YNK
Still Waiting,Sum 41,Does This Look Infected?,Catchy But Careful,Playlist,USIR20200792,2OMqSRS11ly56zg9u5za6c
Down,Cult To Follow,The Inception,Sentimental Zone,Playlist,TCADK1722863,1wkmS6iTkterreXQrsbP8I
Electric Chair,3 Pill Morning,Never Look Back,Catchy But Careful,Playlist,QMF921650033,1MzW0TsxME705RWNsVmzC6
By Your Side,Highway Saints,Highway Saints,Everything Green,Playlist,TCABT1420323,3FTmGQ9b62wp8ha7bI45T2
We All Die Alone,Another Lost Year,Alien Architect (Re-Release),Catchy But Careful,Playlist,QMCKT1600016,629sBP2v6tYmOVYyvoWIth
The Only Way Is Up,APOC,The Only Way Is Up,Everything Green,Playlist,QM4TX2412089,3QKH9oDuT3k5S5JRsv13KN
Smalltown Boy,Bronski Beat,The Age of Consent,Everything Green,Playlist,GBAAP0200005,5vmRQ3zELMLUQPo2FLQ76x
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,Sentimental Zone,Playlist,USPR39402224,0rmGAIH9LNJewFw7nKzZnc
You Leave Me Here,Lightscape,"For Present, for Past",Sentimental Zone,Playlist,UKE5J1600002,4SMnxOhvtBlEl65e2sCxKN
The Vengeful One,Disturbed,Immortalized (Deluxe Edition),Catchy But Careful,Playlist,USRE11500172,3jjU4Pky1ja5J1onU6ei4T
Someone You Loved,Our Last Night,Someone You Loved,Sentimental Zone,Playlist,GBDMT1900303,6TeB7j56k4AbELOl3G4zfj
The Core,Memory of a Melody,Things That Make You Scream,Sentimental Zone,Playlist,TCABA1160185,4J5EwQwLXNFte1XXWoMhAN
Square Hammer,Ghost,Meliora (Deluxe Edition),Everything Green,Playlist,USC4R1601984,2XgTw2co6xv95TmKpMcL70
Dance Macabre,Ghost,Prequelle,Everything Green,Playlist,USC4R1802355,1E2WTcYLP1dFe1tiGDwRmT
Lachryma,Ghost,Skelet�,Sentimental Zone,Playlist,USC4R2452129,4TjCaQsPQhGZUk0Hls4O3Y
Satanized,Ghost,Skelet�,Sentimental Zone,Playlist,USC4R2452130,6RLM1w82rrT9tKsQVEa5Yr
Peacefield,Ghost,Skelet�,Sentimental Zone,Playlist,USC4R2452128,5LA5Qhk8UYBHBaqjwqtHDz
