Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
The Black,Asking Alexandria,The Black,Heavy Edge,Playlist,USYFZ1666002,4KU9YpzM1TzEr4oScS9LvW
Sulfur - 2012 Remaster,Slipknot,Antennas to Hell (Special Edition),Heavy Edge,Playlist,NLA321292282,2kPABXCLxkdLdnvMlxG2S2
Nightmare,Avenged Sevenfold,Nightmare,Heavy Edge,Playlist,USWB11001149,4UEo1b0wWrtHMC8bVqPiH8
Can You Feel My Heart,Bring Me The Horizon,Sempiternal (Expanded Edition),Heavy Edge,Playlist,GBARL1202415,0WSa1sucoNRcEeULlZVQXj
Apology,Alesana,Try This With Your Eyes Closed,Heavy Edge,Playlist,USF270700101,6hNA4yDJr0hGn0TlnmRVUQ
Rock 'N' Roll (The Apocalypse Tribute),Smash Into Pieces,The Apocalypse DJ,Heavy Edge,Playlist,SEVWR1401311,0Y9PEvDOLFymMBZ1uiIpr4
My Precious,Smash Into Pieces,Evolver,Heavy Edge,Playlist,SEVWR1803811,6AGYOjJHK8CNMM3zoK6xJx
Paranoia,A Day To Remember,Bad Vibrations (Deluxe Edition),Heavy Edge,Playlist,USEP41609001,3HhaSocKwTptze7PySNZlW
Madness,All That Remains,Madness,Heavy Edge,Playlist,USRZR1600208,2f3BjA4maW3J0W0lbK6dEt
Waking Lions,Pop Evil,Pop Evil,Heavy Edge,Playlist,USKO11701206,0ZeefLILl0MXQIE1Lm6mCh
Your Betrayal,Bullet For My Valentine,Fever,Heavy Edge,Playlist,USJI11000030,25GC50HslaaruyrKjdu0lP
Obey (with YUNGBLUD),Bring Me The Horizon,Obey (with YUNGBLUD),Heavy Edge,Playlist,GBARL2000962,7fQox8Ere1HDm0jhSnsFHu
Tears Don't Fall,Bullet For My Valentine,The Poison,Heavy Edge,Playlist,GBHQD0500017,2dbKMVQMjThcJ6GIdWK5Tb
Absolute Zero,Stone Sour,Cut the Cord - Rock Hard,Heavy Edge,Playlist,NLA321292440,3IMWi5khesfQzMNVvjXq2O
Darkness Surrounding,Avenged Sevenfold,Sounding The Seventh Trumpet,Heavy Edge,Playlist,USHR20323003,6YQcnnJcZ8fhNyJ8Rj4ovD
To End The Rapture,Avenged Sevenfold,Sounding The Seventh Trumpet,Heavy Edge,Playlist,USHR20323001,4ppm6hPyVcrCpdDauT2cnn
Don't Stay,Linkin Park,Meteora,Heavy Edge,Playlist,USWB10300464,6HZdbb05lEXLvcmee3ZXO2
Somewhere I Belong,Linkin Park,Meteora,Heavy Edge,Playlist,USWB10300376,3agtg0x11wPvLIWkYR39nZ
What I've Done,Linkin Park,Minutes to Midnight,Heavy Edge,Playlist,USWB10700721,4wfyFIRnxdIN0v4OGtXcX3
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,Heavy Edge,Playlist,USGF18714809,7snQQk1zcKl8gZ92AnueZW
Unholy Confessions,Avenged Sevenfold,Waking The Fallen,Heavy Edge,Playlist,USHR20323015,78XFPcFYN8YFOHjtVwnPsl
Remenissions,Avenged Sevenfold,Waking The Fallen,Heavy Edge,Playlist,USHR20323017,0foUqfFNnzCnlSroyvsONr
Desecrate Through Reverence,Avenged Sevenfold,Waking The Fallen,Heavy Edge,Playlist,USHR20323018,2CtlenYH17sZ8Mzg9tgT1K
Second Heartbeat,Avenged Sevenfold,Waking The Fallen,Heavy Edge,Playlist,USHR20323020,3hmX5dfwY9oRIpJKvt755u
And All Things Will End,Avenged Sevenfold,Waking The Fallen,Heavy Edge,Playlist,USHR20323025,3z5GVpU8JtKsVG5hsZjign
Blinded in Chains,Avenged Sevenfold,City of Evil,Heavy Edge,Playlist,USWB10501911,39ZiU2QVBvDQzeepJjg8tp
Chapter Four,Avenged Sevenfold,Waking The Fallen,Heavy Edge,Playlist,USHR20323016,4ORgqa0GOafXbApy6S8FpJ
Sidewinder,Avenged Sevenfold,City of Evil,Heavy Edge,Playlist,USWB10501915,3l50RgVQjhZ3b2jGooNq58
The Wicked End,Avenged Sevenfold,City of Evil,Heavy Edge,Playlist,USWB10501916,0uOqE6FuLJAq5YLkch2Lx2
Strength of the World,Avenged Sevenfold,City of Evil,Heavy Edge,Playlist,USWB10501917,7f3q0uL6T82qtS4GVXGMIG
M.I.A.,Avenged Sevenfold,City of Evil,Heavy Edge,Playlist,USWB10501919,4lNiL86abBVUvGI4fZEkO2
Almost Easy,Avenged Sevenfold,Avenged Sevenfold,Heavy Edge,Playlist,USWB10703783,2LaqepPZ8orpSkw6BMETEg
The Pursuit of Vikings,Amon Amarth,Fate of Norns,Heavy Edge,Playlist,USMBR0400060,0sObxZUKqdPfgjG9ahSlP5
Send the Pain Below,Chevelle,Wonder What's Next (Expanded Edition),Heavy Edge,Playlist,USSM10201529,6dRAAG4sB71NAtVCHJep7s
Face to the Floor,Chevelle,Hats Off to the Bull,Heavy Edge,Playlist,USSM11105327,6sREV6MpLHTqcOmBK5mvYF
Ten Thousand Fists,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10500888,5hkgrWxkobGtg30I7DsfVu
Just Stop,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10500889,3WiXCGEioBloorG63T3dSF
Deify,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10501015,3H1SsrSSXeMFNj206eYim8
Land of Confusion,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10501021,4ClGNWLK9vZMBtO0CpnyOE
Burn It Down,Avenged Sevenfold,City of Evil,Heavy Edge,Playlist,USWB10502473,0qFHau72kavUiqkKQJVoo0
Forgiven,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10501020,2UiFk0Fwy2gTWJShgQL8el
Sacred Lie,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10501022,7yZtrG0ktXcDCyWkmIWmEi
Pain Redefined,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10501023,4H6qtMPzKYRCsf7bT2DcBP
Let Go,Red,End Of Silence,Heavy Edge,Playlist,USA5W0600045,2GcRMRCgdj2qSHoyIHjGNN
Sons of Plunder,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10501017,69ZRVsGoLXjHrQWHMX5iCN
This War Is Ours (The Guillotine II),Escape the Fate,This War Is Ours (Deluxe Edition),Heavy Edge,Playlist,USEP40818108,1z33QOn2Hcq9SfI5pES25L
The Safety of Disbelief,Light The Torch,Revival,Heavy Edge,Playlist,DED831701847,49ylH81Y53wUOlTHqXK1J2
Truth,Seether,Karma and Effect,Heavy Edge,Playlist,USWU30500017,5KUUpftdyMnSZNOyO3qydy
Attack,Thirty Seconds To Mars,A Beautiful Lie,Heavy Edge,Playlist,USVI20500050,587WH6kCBOPalgEBH2Fk9U
Feel Good Drag,Anberlin,New Surrender,Heavy Edge,Playlist,USUM70825529,1BVIkM4Zu0QsjQSimAANmj
Lying from You,Linkin Park,Meteora,Heavy Edge,Playlist,USWB10300465,4zP2e2aIzOZGEFTq1MDJmm
Trial By Fire,Saul,Rise As Equals,Heavy Edge,Playlist,GBUM71905545,1MTRl825TTdv18OaHs5gEu
Infinite,Silverstein,Infinite,Heavy Edge,Playlist,AUI441900244,1aWpVsNjEiqpFvV3KhJiWu
Twilight Of The Thunder God,Amon Amarth,Twilight Of The Thunder God,Heavy Edge,Playlist,USMBR0805969,5u3l2TONYacJgmRPQVaF9y
