Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Break In,Halestorm,The Strange Case of... (Deluxe),Sentimental Zone,Playlist,USAT21200154,5Q7pjvFqm4Pk0voGgutt5G
Pieces,Red,End Of Silence,Sentimental Zone,Playlist,USA5W0600048,7C0yPWHEwTPQ4xqOz96Aro
Lost Control,Alan Walker,Different World,Sentimental Zone,Playlist,NOG841813020,0lG6QM1jjbbX5UUn3DPmrZ
Ethereal,Txmy,Ethereal,Sentimental Zone,Playlist,QMANG2217233,7iq0IYOnYZUHrz7F4rIIq4
The Unknown,Crossfade,Crossfade,Sentimental Zone,Playlist,USSM10400177,7Eg9qnJK7hI7LLoRsbvH2X
My Immortal,Evanescence,Fallen,Sentimental Zone,Playlist,USWU30200104,4UzVcXufOhGUwF56HT7b8M
the way things go,beabadoobee,the way things go,Sentimental Zone,Playlist,GBK3W2302683,5sA3i6SGkILMiZW6Fhx4wv
Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),Sentimental Zone,Playlist,GBAFL0700145,7wCmS9TTVUcIhRalDYFgPy
Forgotten Phone,Stöj Snak,A Normal Lost Phone (Original Game Soundtrack),Sentimental Zone,Playlist,USCGH1738778,3OPlcPzs0kQh3epFJAy124
Last Goodbye,Dead by April,Incomparable (Mystery Version),Sentimental Zone,Playlist,SEUM71100671,5U1g4OWjCCkZtWNreyuHtw
Dream On,Aerosmith,Aerosmith,Sentimental Zone,Playlist,USSM10011897,1xsYj84j7hUDDnTTerGWlH
Hell is a Dance Floor,Vincent Mason,Hell is a Dance Floor,Sentimental Zone,Playlist,SGB502394921,6hCei3LDTNFZ5y0o30WjjN
Hymn for the Weekend,Coldplay,A Head Full of Dreams,Sentimental Zone,Playlist,GBAYE1500979,3RiPr603aXAoi4GHyXx0uy
The Evidence,Daybreak Embrace,Culmination,Sentimental Zone,Playlist,ushm91968656,4YIALWYYFaIxx04rNszlBQ
The Good Part,AJR,The Click,Sentimental Zone,Playlist,QMRSZ1701239,59r6ljBe7yDT3pkzHAtJ9R
Emily Ever After,Bridge to Grace,Emily Ever After,Sentimental Zone,Playlist,TCAEG1949842,1JHf861U0vRr4fQ3f5ZbWC
Bleeding Out,Imagine Dragons,Night Visions (Deluxe),Sentimental Zone,Playlist,USUM71208569,2auTfKFcoQd7z2uFCeuaww
Don't You Worry Child,City Sessions,Don't You Worry Child,Sentimental Zone,Playlist,QZTB42225819,3SmRuDNiBUSUqi3cfr11On
No More,Three Days Grace,Life Starts Now,Sentimental Zone,Playlist,USJI10900545,1bPRhOz3nOfEIoLjB1YYT3
Under Your Scars,Godsmack,When Legends Rise,Sentimental Zone,Playlist,QMRSZ1703241,3VePARjg5ortw4ZfCKj0m3
Whirring,The Joy Formidable,The Big Roar,Sentimental Zone,Playlist,USAT21002530,2XbqxKjCnE9YWfPRqwgtPq
Stay,Smash Into Pieces,Rise and Shine,Sentimental Zone,Playlist,SEVWR1603004,6Sdrj33AyNSWZRQBdKyKeh
Lost (2016 Remastered),Red,End of Silence: 10th Anniversary Edition,Sentimental Zone,Playlist,USA5W1600074,7IUFFH0QvU4809S4f80KQm
Color of Your Eyes,Smash Into Pieces,The Apocalypse DJ,Sentimental Zone,Playlist,SEVWR1401308,4MhnghhGVVcXrijuk4W8BY
Todo Cuenta,DLD,Primario,Sentimental Zone,Playlist,MXF011200507,7dQPrqawqfL8ol7qp7plIi
Into the Dark,Downplay,Beyond the Machine,Sentimental Zone,Playlist,TCABC1150994,5Pyw7WTwI5t0BDfJeW39F8
Cinnamon Girl,Lana Del Rey,I'm Not Afraid Anymore,Sentimental Zone,Playlist,GBUM71903147,5RSDJrXpGAFXEXivXkxAUY
Dream On,Blacktop Mojo,Burn the Ships,Sentimental Zone,Playlist,USEJE1701012,3zOlblZcFlt12XXAnS1ItD
Something to Remind You,Staind,Staind,Sentimental Zone,Playlist,USEE11100502,30zwJlDSbedlyvHXfAaLKK
OK,Alan Walker,World Of Walker,Sentimental Zone,Playlist,NOG842107010,1fohm4EDuPauFyFIKmTIUm
ECHO,STARSET,DIVISIONS,Sentimental Zone,Playlist,US5261923236,47pmY6tTSpUV8gfj7Aqoe8
Where Did You Go,Downplay,Radiocalypse,Sentimental Zone,Playlist,TCABG1272528,6NhRTkaqfGP141YulLiOCO
Forget It,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Sentimental Zone,Playlist,USHR10421021,6kbSo13qvSJHBjuKdGBUbb
Words As Weapons,Seether,Isolate And Medicate,Sentimental Zone,Playlist,QMFMK1400003,25jSwur7S47WCiH0hQNUAo
Crash,Seether,Isolate And Medicate,Sentimental Zone,Playlist,QMFMK1400005,6HimHP9R98iME32kAYf6L9
Nobody Praying For Me,Seether,Isolate And Medicate,Sentimental Zone,Playlist,QMFMK1400008,3bq8WiQrEXMwPAibYs7tpu
