Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Break In,Halestorm,The Strange Case of... (Deluxe),Everything Green,Playlist,USAT21200154,5Q7pjvFqm4Pk0voGgutt5G
Pieces,Red,End Of Silence,Everything Green,Playlist,USA5W0600048,7C0yPWHEwTPQ4xqOz96Aro
Lost Control,Alan Walker,Different World,Catchy But Careful,Playlist,NOG841813020,0lG6QM1jjbbX5UUn3DPmrZ
Ethereal,Txmy,Ethereal,Everything Green,Playlist,QMANG2217233,7iq0IYOnYZUHrz7F4rIIq4
The Unknown,Crossfade,Crossfade,Sentimental Zone,Playlist,USSM10400177,7Eg9qnJK7hI7LLoRsbvH2X
My Immortal,Evanescence,Fallen,Sentimental Zone,Playlist,USWU30200104,4UzVcXufOhGUwF56HT7b8M
the way things go,beabadoobee,the way things go,Everything Green,Playlist,GBK3W2302683,5sA3i6SGkILMiZW6Fhx4wv
Forgotten Phone,Stöj Snak,A Normal Lost Phone (Original Game Soundtrack),Sentimental Zone,Playlist,USCGH1738778,3OPlcPzs0kQh3epFJAy124
Last Goodbye,Dead by April,Incomparable (Mystery Version),Catchy But Careful,Playlist,SEUM71100671,5U1g4OWjCCkZtWNreyuHtw
Dream On,Aerosmith,Aerosmith,Everything Green,Playlist,USSM10011897,1xsYj84j7hUDDnTTerGWlH
Hell is a Dance Floor,Vincent Mason,Hell is a Dance Floor,Sentimental Zone,Playlist,SGB502394921,6hCei3LDTNFZ5y0o30WjjN
Hymn for the Weekend,Coldplay,A Head Full of Dreams,Everything Green,Playlist,GBAYE1500979,3RiPr603aXAoi4GHyXx0uy
The Good Part,AJR,The Click,Everything Green,Playlist,QMRSZ1701239,59r6ljBe7yDT3pkzHAtJ9R
Emily Ever After,Bridge to Grace,Emily Ever After,Catchy But Careful,Playlist,TCAEG1949842,1JHf861U0vRr4fQ3f5ZbWC
Bleeding Out,Imagine Dragons,Night Visions (Deluxe),Catchy But Careful,Playlist,USUM71208569,2auTfKFcoQd7z2uFCeuaww
No More,Three Days Grace,Life Starts Now,Sentimental Zone,Playlist,USJI10900545,1bPRhOz3nOfEIoLjB1YYT3
Under Your Scars,Godsmack,When Legends Rise,Everything Green,Playlist,QMRSZ1703241,3VePARjg5ortw4ZfCKj0m3
Whirring,The Joy Formidable,The Big Roar,Sentimental Zone,Playlist,USAT21002530,2XbqxKjCnE9YWfPRqwgtPq
Stay,Smash Into Pieces,Rise and Shine,Everything Green,Playlist,SEVWR1603004,6Sdrj33AyNSWZRQBdKyKeh
Lost (2016 Remastered),Red,End of Silence: 10th Anniversary Edition,Catchy But Careful,Playlist,USA5W1600074,7IUFFH0QvU4809S4f80KQm
Color of Your Eyes,Smash Into Pieces,The Apocalypse DJ,Sentimental Zone,Playlist,SEVWR1401308,4MhnghhGVVcXrijuk4W8BY
Todo Cuenta,DLD,Primario,Everything Green,Playlist,MXF011200507,7dQPrqawqfL8ol7qp7plIi
Into the Dark,Downplay,Beyond the Machine,Everything Green,Playlist,TCABC1150994,5Pyw7WTwI5t0BDfJeW39F8
Cinnamon Girl,Lana Del Rey,I'm Not Afraid Anymore,Catchy But Careful,Playlist,GBUM71903147,5RSDJrXpGAFXEXivXkxAUY
Dream On,Blacktop Mojo,Burn the Ships,Everything Green,Playlist,USEJE1701012,3zOlblZcFlt12XXAnS1ItD
Something to Remind You,Staind,Staind,Sentimental Zone,Playlist,USEE11100502,30zwJlDSbedlyvHXfAaLKK
OK,Alan Walker,World Of Walker,Everything Green,Playlist,NOG842107010,1fohm4EDuPauFyFIKmTIUm
ECHO,STARSET,DIVISIONS,Everything Green,Playlist,US5261923236,47pmY6tTSpUV8gfj7Aqoe8
Where Did You Go,Downplay,Radiocalypse,Catchy But Careful,Playlist,TCABG1272528,6NhRTkaqfGP141YulLiOCO
Forget It,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Catchy But Careful,Playlist,USHR10421021,6kbSo13qvSJHBjuKdGBUbb
Words As Weapons,Seether,Isolate And Medicate,Catchy But Careful,Playlist,QMFMK1400003,25jSwur7S47WCiH0hQNUAo
Crash,Seether,Isolate And Medicate,Sentimental Zone,Playlist,QMFMK1400005,6HimHP9R98iME32kAYf6L9
Nobody Praying For Me,Seether,Isolate And Medicate,Catchy But Careful,Playlist,QMFMK1400008,3bq8WiQrEXMwPAibYs7tpu
