Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Land of Confusion - 2007 Remaster,Genesis,Invisible Touch (2007 Remaster),Rhythmic Journey,Playlist,GBAAA0700780,6twIBPybEvGydyNzNz89FT
Triste canci�n,El Tri,40 A�os Vol. 2,Rhythmic Journey,Playlist,MXF150900012,30PVnkFMT1W5Njm4Qw4Xi4
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Rhythmic Journey,Playlist,USAT21300959,5CQ30WqJwcep0pYcV4AMNc
Don't Stop Me Now - Remastered 2011,Queen,Jazz (2011 Remaster),Rhythmic Journey,Playlist,GBUM71029610,5T8EDUDqKcs6OSOwEsfqG7
Better Days - Previously Unreleased,Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Rhythmic Journey,Playlist,USHR11132851,2bzvFmc451obH1ldetQrgT
The Sound of Silence - Electric Version,Simon & Garfunkel,Sounds Of Silence,Rhythmic Journey,Playlist,USSM16401131,2YplrdHMBoRdnHgMeHEwHm
All Quiet on the Mersey Front (feat. The George Martin Orchestra) - Stereo Version; 1997 Remaster,Gerry & The Pacemakers,Ferry Cross The Mersey [Mono And Stereo Version],Rhythmic Journey,Playlist,GBAYE9702811,5L5VwGsaaRBpZiXUw6ZMJj
Calm Before the Storm,Outrun the Fall,Hollow Point Heroes,Rhythmic Journey,Playlist,usl4r1804756,7nqChZMpHFCW8sZhi1iZFg
Seconds To Save Her,Our Waking Hour,Seconds To Save Her,Rhythmic Journey,Playlist,TCAAY1176475,2nEn8ZIMEfsjn8d2Fdu06q
Perfect Torture,Black Smoke Trigger,Perfect Torture,Rhythmic Journey,Playlist,NZRI12300124,33JeElmQXj6BE3iTNUzq8l
Sedona Re-Mastered,Daybreak Embrace,Culmination,Rhythmic Journey,Playlist,ushm91968655,6EvK1ugwzn0oB9Eqg5DeUM
Burn It Down,Added Color,Burn It Down,Rhythmic Journey,Playlist,USHM22506271,4nqAejs4IyvuApHDQI6Gkf
Heaven and Hell - 2021 Remaster,Black Sabbath,Heaven and Hell (Remastered and Expanded Edition),Rhythmic Journey,Playlist,GB5KW2203521,4Aw1zpG7lTPjNDAABCzWD1
Wasted Time,Outrun the Fall,Hollow Point Heroes,Rhythmic Journey,Playlist,usl4r1804747,5fIODFuKNNYvLh0cUj5qtz
Iron Man - 2009 Remaster,Black Sabbath,Paranoid,Rhythmic Journey,Playlist,GBAJE7000085,755bvJDSA3LNcNuFgBT9LK
Chemical Ride (Acoustic),3 Years Hollow,"Unplugged, Vol. 1",Rhythmic Journey,Playlist,QMGHG1300002,6i1XYdaoD2KvpTy0PZl5xy
En El Muelle de San Blas,Man�,Sue�os L�quidos,Rhythmic Journey,Playlist,MXF159700100,0mvocLIWUnT10znvIXwHGr
"Who Wants To Live Forever - Queen Cover, New Mix",Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Rhythmic Journey,Playlist,USHR11132849,5FAk6VBeHSabUTstA0dGR4
"Enjoy The Silence - Depeche Mode Cover, Previously Unreleased",Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Rhythmic Journey,Playlist,USHR11132855,4uHTK7MFDWI39tEnJx8cnh
