Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Silicone Lube,Feed Me,Feed Me's Big Adventure,Full Volume,Playlist,GBTDG1000244,0tvsUR0T0EteQXabotDRJo
The Rush,Shuichi Kobori,Hi-Fi Rush: Original Game Soundtrack,Full Volume,Playlist,QMTH32300003,6bJdrc2kj57R5K4WBJZWXy
Heaven and Hell,Jeremy Blake,Music for Algorithm: Volume 01,Full Volume,Playlist,QZTB62375916,6vO1kDFnryQjKGKcSZJ1SN
Your Heart,George Marios,Your Heart,Full Volume,Playlist,UK8J72500001,2K4oBsydzfXBur5fk9OzA4
Somewhere to be,George Marios,Somewhere to be,Full Volume,Playlist,UK8J72500004,5qhVOA2bVhQtzL1jdHVktd
Too Late For Sorry,Our Waking Hour,Seconds To Save Her,Full Volume,Playlist,TCAAY1176478,69OwbC8fwgEZxz9S7TNKdR
Suffocate,Daybreak Embrace,Tomorrow Awaits,Full Volume,Playlist,ushm91098010,3qXmiCeIl3Puo7rTcvhvzl
Heartless (Radio Edit),Rains,Heartless (Radio Edit),Full Volume,Playlist,TCACL1656000,5fYqlC0AsOdN5y2IMABqw0
Hold On Till May,Pierce The Veil,Collide With The Sky,Full Volume,Playlist,US5261216612,5u2FOoFhp495GIj5BJC77J
La Belle Dame Sans Merci,Andrea Brunori,La Belle Dame Sans Merci,Full Volume,Playlist,GBLFP2350160,41kZ1KNJ9zAmrFXyF5AQeC
Welcome Silence,Daybreak Embrace,Mercury,Full Volume,Playlist,ushm91302454,6Lr4e37Etk9cLEjlsa6fCX
Heroes - Spotify Singles,Smash Into Pieces,Heroes - Spotify Singles,Full Volume,Playlist,QMFMF2435042,0eOT4T0gy2vqOZsMI2FKQS
Wishing Well - 2021 Remaster,Black Sabbath,Heaven and Hell (Remastered and Expanded Edition),Full Volume,Playlist,GB5KW2203522,0GSlOwiaaIWFYiRaJJersl
