Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Silicone Lube,Feed Me,Feed Me's Big Adventure,Everything Green,Playlist,GBTDG1000244,0tvsUR0T0EteQXabotDRJo
The Rush,Shuichi Kobori,Hi-Fi Rush: Original Game Soundtrack,Everything Green,Playlist,QMTH32300003,6bJdrc2kj57R5K4WBJZWXy
Heaven and Hell,Jeremy Blake,Music for Algorithm: Volume 01,Everything Green,Playlist,QZTB62375916,6vO1kDFnryQjKGKcSZJ1SN
Your Heart,George Marios,Your Heart,Everything Green,Playlist,UK8J72500001,2K4oBsydzfXBur5fk9OzA4
Somewhere to be,George Marios,Somewhere to be,Sentimental Zone,Playlist,UK8J72500004,5qhVOA2bVhQtzL1jdHVktd
Too Late For Sorry,Our Waking Hour,Seconds To Save Her,Everything Green,Playlist,TCAAY1176478,69OwbC8fwgEZxz9S7TNKdR
Suffocate,Daybreak Embrace,Tomorrow Awaits,Catchy But Careful,Playlist,ushm91098010,3qXmiCeIl3Puo7rTcvhvzl
Heartless (Radio Edit),Rains,Heartless (Radio Edit),Catchy But Careful,Playlist,TCACL1656000,5fYqlC0AsOdN5y2IMABqw0
Hold On Till May,Pierce The Veil,Collide With The Sky,Catchy But Careful,Playlist,US5261216612,5u2FOoFhp495GIj5BJC77J
La Belle Dame Sans Merci,Andrea Brunori,La Belle Dame Sans Merci,Catchy But Careful,Playlist,GBLFP2350160,41kZ1KNJ9zAmrFXyF5AQeC
Welcome Silence,Daybreak Embrace,Mercury,Sentimental Zone,Playlist,ushm91302454,6Lr4e37Etk9cLEjlsa6fCX
Heroes - Spotify Singles,Smash Into Pieces,Heroes - Spotify Singles,Everything Green,Playlist,QMFMF2435042,0eOT4T0gy2vqOZsMI2FKQS
Wishing Well - 2021 Remaster,Black Sabbath,Heaven and Hell (Remastered and Expanded Edition),Everything Green,Playlist,GB5KW2203522,0GSlOwiaaIWFYiRaJJersl
