Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Blackout,Virtual Riot,There Goes Your Money,Full Volume,Playlist,FR2X41626457,0QSdRZkHrfbFbZIxFF1EIM
Sorry (feat. ISÁK) - Albert Vishi Remix,Alan Walker,Sorry (feat. ISÁK),Full Volume,Playlist,NOG842101030,4cLTIPplUUv8nEqWWJs6GN
Xanandra,Mago de Oz,"Hechizos, pócimas y brujería",Full Volume,Playlist,ES5151201912,3k5xCSWc2ZQHbo9Q4qCbuu
ALL NIGHT,Godlands,GODSP33D,Full Volume,Playlist,CA6D22200283,5GyON52MtTky82ToPoh0rE
Crystallize,Lindsey Stirling,Lindsey Stirling,Full Volume,Playlist,USTEY0900057,2qlo9lm8HSqy7T2dxiOZY6
De Música Ligera - Remasterizado 2007,Soda Stereo,Me Verás Volver (Hits & Más),Full Volume,Playlist,ARFSB0700930,0Ruvs5IxqkGqQVWCO2oRpw
Brain Power,Florian Rehn,Brain Power,Full Volume,Playlist,QZK6N1918712,3FmQ9KdqlkkIxZZmPmwzDA
Break Me Down (2016 Remastered),Red,End of Silence: 10th Anniversary Edition,Full Volume,Playlist,USA5W1600076,380FZBQts4JPGezpDux69V
The Eye of the Storm,Disturbed,Immortalized,Full Volume,Playlist,USRE11500170,4KNW8d7z1CC8wMyEBEN9wV
In The Dark,9 Billion,Alive,Full Volume,Playlist,QZES52284522,2j8hfjRZIHvGrkwJWboUFM
Abyss - from Kaiju No. 8,YUNGBLUD,Abyss (from Kaiju No. 8),Full Volume,Playlist,USUG12400478,2kLWSmKHhfUBepkIA9oNe5
Silicone Lube,Feed Me,Feed Me's Big Adventure,Full Volume,Playlist,GBTDG1000244,0tvsUR0T0EteQXabotDRJo
The Rush,Shuichi Kobori,Hi-Fi Rush: Original Game Soundtrack,Full Volume,Playlist,QMTH32300003,6bJdrc2kj57R5K4WBJZWXy
Heaven and Hell,Jeremy Blake,Music for Algorithm: Volume 01,Full Volume,Playlist,QZTB62375916,6vO1kDFnryQjKGKcSZJ1SN
Your Heart,George Marios,Your Heart,Full Volume,Playlist,UK8J72500001,2K4oBsydzfXBur5fk9OzA4
Somewhere to be,George Marios,Somewhere to be,Full Volume,Playlist,UK8J72500004,5qhVOA2bVhQtzL1jdHVktd
Too Late For Sorry,Our Waking Hour,Seconds To Save Her,Full Volume,Playlist,TCAAY1176478,69OwbC8fwgEZxz9S7TNKdR
Suffocate,Daybreak Embrace,Tomorrow Awaits,Full Volume,Playlist,ushm91098010,3qXmiCeIl3Puo7rTcvhvzl
Heartless (Radio Edit),Rains,Heartless (Radio Edit),Full Volume,Playlist,TCACL1656000,5fYqlC0AsOdN5y2IMABqw0
Hold On Till May,Pierce The Veil,Collide With The Sky,Full Volume,Playlist,US5261216612,5u2FOoFhp495GIj5BJC77J
La Belle Dame Sans Merci,Andrea Brunori,La Belle Dame Sans Merci,Full Volume,Playlist,GBLFP2350160,41kZ1KNJ9zAmrFXyF5AQeC
Welcome Silence,Daybreak Embrace,Mercury,Full Volume,Playlist,ushm91302454,6Lr4e37Etk9cLEjlsa6fCX
Heroes - Spotify Singles,Smash Into Pieces,Heroes - Spotify Singles,Full Volume,Playlist,QMFMF2435042,0eOT4T0gy2vqOZsMI2FKQS
Wishing Well - 2021 Remaster,Black Sabbath,Heaven and Hell (Remastered and Expanded Edition),Full Volume,Playlist,GB5KW2203522,0GSlOwiaaIWFYiRaJJersl
Sphere,Daybreak Embrace,Culmination,Full Volume,Playlist,ushm91968654,49sUvPWK6RHfKoxERNfLfT
No Scars,Daybreak Embrace,Mercury,Full Volume,Playlist,ushm91302455,010FIZki82J9Y3QWYHSyN1
Lost In Transition,Our Waking Hour,Seconds To Save Her,Full Volume,Playlist,TCAAY1176486,5k3LnMZxwsNGtvUFno6KrZ
Early Wounds,Klogr,FRACTURED REALITIES,Full Volume,Playlist,ITS262400001,18YCiVla96mZnbfgfz2VNv
Face The Unknown,Klogr,FRACTURED REALITIES,Full Volume,Playlist,ITS262400004,3tyMvU1Ng4dsqAGWXwQzFt
Matches and Knives,Take The Day,Matches and Knives,Full Volume,Playlist,TCADO1843259,7vc5TEMl2ubP7F6jTxDXv7
Run Diego Run - Superhuman,Havoc Engine,Run Diego Run (Human vs. AI),Full Volume,Playlist,QT6EE2586590,6gcZE0tfyrSsctH1w77oKq
Ordinary Man - Japanese B-Side,Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Full Volume,Playlist,USHR11132848,1Gh38tVU1G1YWAK7TwGxQO
Follow - Radio Edit,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Rhythmic Journey,Playlist,USHR10421018,3NDm0hXbWlNyF2OtGg1U6R
Land of Confusion - 2007 Remaster,Genesis,Invisible Touch (2007 Remaster),Rhythmic Journey,Playlist,GBAAA0700780,6twIBPybEvGydyNzNz89FT
Triste canción,El Tri,40 Años Vol. 2,Rhythmic Journey,Playlist,MXF150900012,30PVnkFMT1W5Njm4Qw4Xi4
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Rhythmic Journey,Playlist,USAT21300959,5CQ30WqJwcep0pYcV4AMNc
Don't Stop Me Now - Remastered 2011,Queen,Jazz (2011 Remaster),Rhythmic Journey,Playlist,GBUM71029610,5T8EDUDqKcs6OSOwEsfqG7
Better Days - Previously Unreleased,Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Rhythmic Journey,Playlist,USHR11132851,2bzvFmc451obH1ldetQrgT
The Sound of Silence - Electric Version,Simon & Garfunkel,Sounds Of Silence,Rhythmic Journey,Playlist,USSM16401131,2YplrdHMBoRdnHgMeHEwHm
All Quiet on the Mersey Front (feat. The George Martin Orchestra) - Stereo Version; 1997 Remaster,Gerry & The Pacemakers,Ferry Cross The Mersey [Mono And Stereo Version],Rhythmic Journey,Playlist,GBAYE9702811,5L5VwGsaaRBpZiXUw6ZMJj
Calm Before the Storm,Outrun the Fall,Hollow Point Heroes,Rhythmic Journey,Playlist,usl4r1804756,7nqChZMpHFCW8sZhi1iZFg
Seconds To Save Her,Our Waking Hour,Seconds To Save Her,Rhythmic Journey,Playlist,TCAAY1176475,2nEn8ZIMEfsjn8d2Fdu06q
Perfect Torture,Black Smoke Trigger,Perfect Torture,Rhythmic Journey,Playlist,NZRI12300124,33JeElmQXj6BE3iTNUzq8l
Sedona Re-Mastered,Daybreak Embrace,Culmination,Rhythmic Journey,Playlist,ushm91968655,6EvK1ugwzn0oB9Eqg5DeUM
Burn It Down,Added Color,Burn It Down,Rhythmic Journey,Playlist,USHM22506271,4nqAejs4IyvuApHDQI6Gkf
Heaven and Hell - 2021 Remaster,Black Sabbath,Heaven and Hell (Remastered and Expanded Edition),Rhythmic Journey,Playlist,GB5KW2203521,4Aw1zpG7lTPjNDAABCzWD1
Wasted Time,Outrun the Fall,Hollow Point Heroes,Rhythmic Journey,Playlist,usl4r1804747,5fIODFuKNNYvLh0cUj5qtz
Iron Man - 2009 Remaster,Black Sabbath,Paranoid,Rhythmic Journey,Playlist,GBAJE7000085,755bvJDSA3LNcNuFgBT9LK
Chemical Ride (Acoustic),3 Years Hollow,"Unplugged, Vol. 1",Rhythmic Journey,Playlist,QMGHG1300002,6i1XYdaoD2KvpTy0PZl5xy
En El Muelle de San Blas,Maná,Sueños Líquidos,Rhythmic Journey,Playlist,MXF159700100,0mvocLIWUnT10znvIXwHGr
"Who Wants To Live Forever - Queen Cover, New Mix",Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Rhythmic Journey,Playlist,USHR11132849,5FAk6VBeHSabUTstA0dGR4
"Enjoy The Silence - Depeche Mode Cover, Previously Unreleased",Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Rhythmic Journey,Playlist,USHR11132855,4uHTK7MFDWI39tEnJx8cnh
Live Like Giants,Raphael Lake,Epic Indie 3,Calm Waters,Playlist,GBBPP1853434,2N4aP9zjdw6UWxZjl1AACK
Counting On Me - Acoustic Version,Smash Into Pieces,Counting On Me,Calm Waters,Playlist,QM4TX2100754,6ujNV4wl724gRG3JLqP0er
Soñé - En Vivo,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),Calm Waters,Playlist,MXF061100003,2VhJ4nrPorAbySEgO4V0BS
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,Black Panther The Album Music From And Inspired By,Calm Waters,Playlist,USUM71713947,3GCdLUSnKSMJhs4Tj6CV3s
Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,Calm Waters,Playlist,USUG12102313,4qu63nuBpdn0qHUHuObEj1
The Sound of Silence - Acoustic Version,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Calm Waters,Playlist,USSM16401419,5y788ya4NvwhBznoDIcXwK
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),Calm Waters,Playlist,GBUM71505902,0aym2LBJBk9DAYuHHutrIl
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),Calm Waters,Playlist,USSM12103949,5HCyWlXZPP0y6Gqq8TgA20
The House of the Rising Sun (Rerecorded),The Animals,The Animals: All-Time Greatest Hits (Rerecorded Version),Calm Waters,Playlist,USDEI9605910,6pzpdOsCZJVxCKDCyAxNE3
The Experiment (with Shye),Steampianist,The Experiment (with Shye),Calm Waters,Playlist,GBSMU6009207,37DXYULJuFlYAuUC08NQ8E
Waltz In c Sharp Minor Opus 64 No. 2,Chopin Frederic,World Famous Series: Chopin Waltzes,Calm Waters,Playlist,CNF310441504,1Nf9pTBkenS7c9bTDR7urw
The Line (from the series Arcane League of Legends),Arcane,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),Calm Waters,Playlist,USA2P2459604,1QJbDTZAO8rpGOMG4UahFM
Absolution (Sign of Life),Imaginary Colors,Absolution (Sign of Life),Calm Waters,Playlist,USY242470368,6qE47tG0BKXfYx3AAv6AN7
Luna - En Vivo,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),Calm Waters,Playlist,MXF061100015,7b3k8I1fncAzbk9PHnLkbX
Obey (with YUNGBLUD),Bring Me The Horizon,Obey (with YUNGBLUD),Heavy Edge,Playlist,GBARL2000962,7fQox8Ere1HDm0jhSnsFHu
Don't Stay,Linkin Park,Meteora,Heavy Edge,Playlist,USWB10300464,6HZdbb05lEXLvcmee3ZXO2
Somewhere I Belong,Linkin Park,Meteora,Heavy Edge,Playlist,USWB10300376,3agtg0x11wPvLIWkYR39nZ
Cold - 2022 Remaster,Static-X,Machine (20th Anniversary Edition) [2022 Remaster],Heavy Edge,Playlist,USWB12104125,6BZ5pRMvPfxsJLLeztmme5
Delusions of Saviour,Slayer,Repentless,Heavy Edge,Playlist,DED831500594,06WUUNf7q18NZfjIsQFsfa
Vorágine,Airbag,Voragine,Heavy Edge,Playlist,ART381100409,7AHqdNmNLOkjHb70fqTgKd
Dark Clouds,Antimere,Death Is A Forced Escape,Heavy Edge,Playlist,QZNWR2589865,0wwFQs8EXN3wr3LVUJHAEC
Subdermal,Kill the Ache,Subdermal,Heavy Edge,Playlist,QZZ772437680,5n1I0GvifSa2HmTNuwGXX5
Dead Skin,Crossfade,Crossfade,Heavy Edge,Playlist,USSM10400175,0UWNFXDtA308RPlo1gEsu8
Break,Oceans Divide,Break - Single,Heavy Edge,Playlist,TCABE1207264,1JXjKmo2K31NRVgvzQpGky
Orion - Remastered,Metallica,Master Of Puppets (Deluxe Box Set / Remastered),Heavy Edge,Playlist,QMKHM1600224,3z9e5b0P7zoIeV6I3iyX8O
Smoke and Mirrors,Matricide,Red,Heavy Edge,Playlist,USL4Q2312569,26lQ3LMN7LOOC3mFxpronO
Severed,Daybreak Embrace,Mercury,Heavy Edge,Playlist,ushm91302452,6567CLE0lu1fG1LZM6v9WI
Nothing Remains,Evalyn Awake,From Crisis to Clarity,Heavy Edge,Playlist,USA2P1265991,0ISKiZkYc8byIPZczJMuPq
The Root of All Evil - 2009 Remaster,Dream Theater,Octavarium,Heavy Edge,Playlist,USEE10900726,4J9YgAb9UeLqWWu2fjdUCq
The Coming Storm,Matt Moore,The Coming Storm,Heavy Edge,Playlist,usdy41765131,31PXxAJEOYqriWiFERTmsC
In Apathy,Antimere,One With The Stream,Heavy Edge,Playlist,QZTBF2527465,0xkPIzBr7VR7Xn1Eolporu
Toss A Coin To Your Witcher,Matthew K. Heafy,Toss A Coin To Your Witcher,Heavy Edge,Playlist,NLA322000264,3Oz3R5UH9ynO4h1dcpEey1
Justice undone,NONTHEWISER,Injustice for all,Pending,Playlist,QT3FG2544167,7qZZa4sdlPLtgAABBeXjRD
