Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Break My Heart Again,FINNEAS,Blood Harmony (Deluxe),Calm Waters,Playlist,GBKPL1898999,7zw6nQHTwml1mVuQDf5V6k
"Vermilion, Pt. 2",Slipknot,Vol. 3: The Subliminal Verses (Special Edition),Calm Waters,Playlist,NLA320420826,0O7lENhqOySbsL743G7PqD
Only a Human,Silver End,Only a Human,Calm Waters,Playlist,NOGBV1801043,303HIoYAq6QKpYZ8hxfcDW
Trying To Catch Up With The World,Saint Asonia,Saint Asonia (European Edition),Calm Waters,Playlist,USRC11501491,1JysJ6TxLTkzBqNIQelM1H
Broken,Seether,Disclaimer II,Calm Waters,Playlist,USWU30400017,507bYMYfbm6sUS9iEAaeSd
How Did You Love,Shinedown,Threat to Survival,Calm Waters,Playlist,USAT21501668,2le5xHvcWF8PDp608d4L8D
Bad Days,The Score,Bad Days,Calm Waters,Playlist,USA2P2229649,0kdMzZ1w3x4PE8gHfkhvgW
Wake Up Call,Theory of a Deadman,Wake Up Call,Calm Waters,Playlist,NLA321700232,2CpMHblH2jRF9NqtaW8MKZ
Parachute,Isac Elliot,Follow Me,Calm Waters,Playlist,FIBAR1400579,7hKKzKmZDGNdhZvBQvWMge
Cold Heart - PNAU Remix,Elton John,Cold Heart (Claptone Remix),Calm Waters,Playlist,GBUM72104705,02pjWffN5Npwv22BShj1vu
Fire and Fury,Skillet,Rise,Calm Waters,Playlist,USAT21301427,0Uc8OnF9BIXgGJqfLZekyk
American Noise,Skillet,Rise (Deluxe Edition),Calm Waters,Playlist,USAT21300460,1fnoHCcNPvcLx2ZKyTVFg0
Not You,Alan Walker,World Of Walker,Calm Waters,Playlist,NOG842106010,5BKJAuVMDyrFvUTo4dIaiK
Heading Home,Alan Walker,Heading Home,Calm Waters,Playlist,NOG842002010,22O2Zdfj3jnJZDSzlDMAJp
World We Used To Know,Alan Walker,World We Used To Know,Calm Waters,Playlist,NOG842105010,1I8pMiv8c8mTP0fvt0pqQs
Paradise,Alan Walker,Paradise,Calm Waters,Playlist,NOG842109010,0QrLeOy3DCNBNQoEwZB1T3
"Alone, Pt. II",Alan Walker,"Alone, Pt. II",Calm Waters,Playlist,NOG841907010,0bMbDctzMmTyK2j74j3nF3
