Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,Music for Drum Practice,Playlist,USRE10401426,1hwJKpe0BPUsq6UUrwBWTw
So Cold - Remix,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Music for Drum Practice,Playlist,USHR10421070,2ejaZZgHAAz33jB4kfgTLT
So Far Away,Avenged Sevenfold,Nightmare,Music for Drum Practice,Playlist,USWB11001436,7Hr1Ignop7cymbE3FbOtXa
Gone,coldrain,VENA,Music for Drum Practice,Playlist,USHR21586002,6Aslruh5oCnzDKWTALrHOZ
No Home,Within Reason,Battlefields Life Love and War,Music for Drum Practice,Playlist,uscgj1772158,01c6zcZwz5yr0ZFrPtCXrZ
Invictus,Within Reason,Battlefields Life Love and War,Music for Drum Practice,Playlist,uscgj1772157,08xZtI6aqJJ2vipqBlEnmw
Don't Wake Me Up,Smash Into Pieces,The Apocalypse DJ,Music for Drum Practice,Playlist,SEVWR1401305,1puRmdXuf3dLxauYLRXhVZ
The World I Used To Know,We Came As Romans,We Came As Romans,Music for Drum Practice,Playlist,US3X51530003,3oxr2Va0XHoaDtKcAnOcid
Warmness On The Soul,Avenged Sevenfold,Sounding The Seventh Trumpet,Music for Drum Practice,Playlist,USHR20323007,018zT8xThRbMH2QeUoMlKQ
Come Along,Smash Into Pieces,Unbreakable,Music for Drum Practice,Playlist,SEVWR1300108,4S7czPk7fMG6lTIRlmtIt2
Bullets,Smash Into Pieces,The Apocalypse DJ,Music for Drum Practice,Playlist,SEVWR1401309,2RPhLbW8WhcQpgWOl7qTJz
Snuff,Slipknot,All Hope Is Gone,Music for Drum Practice,Playlist,NLA320887000,3RptaQ5Xb8WvtpItZ2f9Hi
Next Semester,Twenty One Pilots,Next Semester,Music for Drum Practice,Playlist,USAT22401697,4PCD9jZRM2VswisaTBhc25
EVOLVE,The Warning,ERROR,Music for Drum Practice,Playlist,USUM72111954,2uzluI26zEowYnMqhyr0BY
Save Me,Avenged Sevenfold,Nightmare,Music for Drum Practice,Playlist,USWB11001441,53jogSv23P6DFcOHcZrDs9
Never Too Late,Three Days Grace,One-X,Music for Drum Practice,Playlist,USJI10600166,3HE50TVRquwXe9yv2HFoNL
Never Say,Otherwise,Peace at All Costs,Music for Drum Practice,Playlist,US4E41409306,6LYtXH7WO8wuRKxYgyKljB
My Enemy,Smash Into Pieces,Unbreakable,Music for Drum Practice,Playlist,SEVWR1300110,3xaNYHmHs6HUU550v1rj6G
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),Music for Drum Practice,Playlist,USWB19900693,64BbK9SFKH2jk86U3dGj2P
I Don't Care - US Version,Apocalyptica,I Don't Care,Music for Drum Practice,Playlist,GBHQD0800003,3bAoghFUTVwGYXYnzRqhCf
Emotionless,Red Sun Rising,Polyester Zeal,Music for Drum Practice,Playlist,USRZR1564905,0uh5m7fyUP1UFN16lgojTN
The Vengeful One,Disturbed,Immortalized (Deluxe Edition),Music for Drum Practice,Playlist,USRE11500172,3jjU4Pky1ja5J1onU6ei4T
Shy Away,Twenty One Pilots,Shy Away (Livestream Version),Music for Drum Practice,Playlist,USAT22101330,2wXhvXQ943HcohT0A9iyZ9
You,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Music for Drum Practice,Playlist,USHR10622224,59AXfSFmdGJWwsnmgWSjFH
Right Here,Staind,Chapter V,Music for Drum Practice,Playlist,USEE10501098,36IkR2i4HaV3SRsSHzje6v
Gone Forever,Three Days Grace,One-X,Music for Drum Practice,Playlist,USJI10600158,2Xe2YAxNPqWCNpZ8RagBdO
Bring Me To Life,Evanescence,Halloween,Music for Drum Practice,Playlist,USWU30200093,2rOGOZkKMpilacZJc0hYuy
Disaster Highway,Smash Into Pieces,The Apocalypse DJ,Music for Drum Practice,Playlist,SEVWR1401301,2trrjXggZzdwQ6YEc4xE6l
Left Behind,Saint Asonia,Introvert,Music for Drum Practice,Playlist,GBUM72107469,4zG29q2hE3LdnXSo7CXKYQ
The Reason,Hoobastank,The Reason (20th Anniversary),Music for Drum Practice,Playlist,USIR20300704,5B5eTk7DF8KVp1zpQoY1XY
Second Chance,Shinedown,The Sound of Madness,Music for Drum Practice,Playlist,USAT20802281,5AtRcGbmFeHtnbQ4k93UW7
Broken Parts,Smash Into Pieces,A New Horizon (Deluxe Edition),Music for Drum Practice,Playlist,QM6N22138229,1HxVSWXrYfk5I1FDogLr06
Angels Fall,Breaking Benjamin,Dark Before Dawn,Music for Drum Practice,Playlist,USHR11536293,2D9BrlpeyjXF0vli2dYQ5V
Buried Alive,Avenged Sevenfold,Nightmare,Music for Drum Practice,Playlist,USWB11001434,4veeNpXDK1YRHMTJ1Cppsg
Monster You Made,Pop Evil,War Of Angels,Music for Drum Practice,Playlist,USKO11100563,3Sg5j8OsAhk33Jd80xC13K
I'm Alive,Disturbed,Ten Thousand Fists,Music for Drum Practice,Playlist,USRE10501016,1gFrm3uL7UAtmjaPspYedU
King For A Day,Pierce The Veil,Collide With The Sky,Music for Drum Practice,Playlist,US5261216604,1IT0WQk5J8NsaeII8ktdlZ
No Way Out,Ravenscode,District of Broken Hope,Music for Drum Practice,Playlist,CA9NB1200007,6uMh7B63kb624T0xiOTWR3
Planets,Adema,Planets,Music for Drum Practice,Playlist,GBBPB0702292,3IoQ4XvuULBkLv0oqk3Wdf
Hell,Disturbed,The Lost Children,Music for Drum Practice,Playlist,USRE10501061,1RIn8LBQzinLEraFtUcpZP
So,Static-X,Shadow Zone,Music for Drum Practice,Playlist,USWB10302030,6JUuxEQ47lJH3qfPf5nlil
Danger Line,Avenged Sevenfold,Nightmare,Music for Drum Practice,Playlist,USWB11001433,5mbXd14GteojYPpciTLYDk
